"Onderdeelnr. fabrikant","Fabrikant","Onderdeelnummer Digi-Key","Klantreferentie","Referentie-aanduiding","Verpakking","Status onderdeel","Aantal","Eenheidsprijs","Totale kostprijs","Beschikbare hoeveelheid","Standaard levertijd fabr.","Beschrijving","RoHS-status","Loodvrije status","REACH Status"
"TPS26631PWPR","Texas Instruments","296-TPS26631PWPRCT-ND","","","Cut Tape (CT)","Active","7","3,23000","22,61 €","2032","26 Weken","4.5V - 60V 6A 29MOHM EFUSE","ROHS3-compatibel","Niet beschikbaar","REACH Unaffected"
"140356145400","Würth Elektronik","732-140356145400CT-ND","","","Cut Tape (CT)","Active","20","0,27500","5,50 €","2970","12 Weken","WL-OCPT OPTOCOUPLER PHOTOTRANSIS","ROHS3-compatibel","Niet beschikbaar","REACH Unaffected"
"1217861-1","TE Connectivity AMP Connectors","A100452CT-ND","","","Cut Tape (CT)","Active","25","0,06080","1,52 €","187223","14 Weken","CONN QC TAB 0.250 SOLDER","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ESR10EZPJ133","Rohm Semiconductor","RHM13KKCT-ND","","","Cut Tape (CT)","Active","20","0,07000","1,40 €","11073","52 Weken","RES SMD 13K OHM 5% 0.4W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-P06J682V","Panasonic Electronic Components","P6.8KADCT-ND","","","Cut Tape (CT)","Active","20","0,09200","1,84 €","6623","28 Weken","RES SMD 6.8K OHM 5% 1/2W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"RNCP0805FTD750R","Stackpole Electronics Inc","RNCP0805FTD750RCT-ND","","","Cut Tape (CT)","Active","20","0,06000","1,20 €","9375","15 Weken","RES 750 OHM 1% 1/4W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"RNCP0805FTD10K0","Stackpole Electronics Inc","RNCP0805FTD10K0CT-ND","","","Cut Tape (CT)","Active","20","0,06000","1,20 €","95993","15 Weken","RES 10K OHM 1% 1/4W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF5602V","Panasonic Electronic Components","P56.0KCCT-ND","","","Cut Tape (CT)","Active","20","0,06400","1,28 €","42287","22 Weken","RES SMD 56K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF9103V","Panasonic Electronic Components","P910KCCT-ND","","","Cut Tape (CT)","Active","20","0,06400","1,28 €","84712","22 Weken","RES SMD 910K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF4303V","Panasonic Electronic Components","P430KCCT-ND","","","Cut Tape (CT)","Active","20","0,06400","1,28 €","49378","22 Weken","RES SMD 430K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF7502V","Panasonic Electronic Components","P75.0KCCT-ND","","","Cut Tape (CT)","Active","20","0,06400","1,28 €","8988","22 Weken","RES SMD 75K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF2402V","Panasonic Electronic Components","P24.0KCCT-ND","","","Cut Tape (CT)","Active","20","0,06400","1,28 €","3731","22 Weken","RES SMD 24K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"ERJ-6ENF5102V","Panasonic Electronic Components","P51.0KCCT-ND","","","Cut Tape (CT)","Active","10","0,06400","0,64 €","1485","22 Weken","RES SMD 51K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"CSD19537Q3","Texas Instruments","296-44351-1-ND","","","Cut Tape (CT)","Active","5","1,18000","5,90 €","3282","8 Weken","MOSFET N-CH 100V 9.7A/50A 8VSON","ROHS3-compatibel","Bevat lood","REACH Affected"
"SMCJ58CA-HF","Comchip Technology","641-2114-1-ND","","","Cut Tape (CT)","Active","5","0,52000","2,60 €","2997","32 Weken","DIODE TVS 58V 1500W SMC BI-DIR","ROHS3-compatibel","Loodvrij","Niet beschikbaar"
"CGA4J3X7S2A105M125AE","TDK Corporation","445-7961-1-ND","","","Cut Tape (CT)","Active","10","0,26900","2,69 €","54877","20 Weken","CAP CER 1UF 100V X7S 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"SS210ATR","SMC Diode Solutions","1655-1896-1-ND","","","Cut Tape (CT)","Active","10","0,18300","1,83 €","6033","14 Weken","DIODE SCHOTTKY 100V 2A SMA","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"5281","Keystone Electronics","36-5281-ND","","","Bulk","Active","25","0,23240","5,81 €","3773","1 Weken","TEST POINT (BLACK) - MULTIPURPOS","ROHS3-compatibel","Niet beschikbaar","REACH Unaffected"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","","","Cut Tape (CT)","Active","10","0,12000","1,20 €","90240","20 Weken","LED GREEN CLEAR CHIP SMD","ROHS3-compatibel","Loodvrij","Niet beschikbaar"
"LH R974-LP-1","OSRAM Opto Semiconductors Inc.","475-1415-1-ND","","","Cut Tape (CT)","Active","10","0,11800","1,18 €","2318","12 Weken","LED RED DIFFUSED 0805 SMD","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"BC817-40,235","Nexperia USA Inc.","1727-6186-1-ND","","","Cut Tape (CT)","Active","5","0,11000","0,55 €","38421","16 Weken","TRANS NPN 45V 500MA TO236AB","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"G6RL-1A DC3","Omron Electronics Inc-EMC Div","Z2762-ND","","","Tray","Active","3","3,61000","10,83 €","325","12 Weken","RELAY GEN PURPOSE SPST 10A 3V","Conform RoHS","Loodvrij","Niet beschikbaar"
"ERJ-6GEYJ202V","Panasonic Electronic Components","P2.0KACT-ND","","","Cut Tape (CT)","Active","20","0,04900","0,98 €","61045","22 Weken","RES SMD 2K OHM 5% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"938","Adafruit Industries LLC","1528-1512-ND","","","Bulk","Active","2","17,01000","34,02 €","844","2 Weken","MONOCHROME 1.3 128X64","ROHS3-compatibel","Niet van toepassing","Niet beschikbaar"
"EN11-VSM1AF20","TT Electronics/BI","987-1192-ND","","","Tray","Active","2","1,00000","2,00 €","2048","12 Weken","ROTARY ENCODER MECHANICAL 20PPR","Conform RoHS","Loodvrij","REACH Unaffected"
"MF52C1103F3380","Cantherm","317-1376-ND","","","Bulk","Active","2","1,74000","3,48 €","33436","10 Weken","THERMISTOR NTC 10KOHM 3380K BEAD","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"JS1400BFQ","E-Switch","141-JS1400BFQCT-ND","","","Cut Tape (CT)","Active","2","2,64000","5,28 €","3317","16 Weken","SWITCH NAVIGATION 50MA 12V","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"RMCF0805ZT0R00","Stackpole Electronics Inc","RMCF0805ZT0R00CT-ND","","","Cut Tape (CT)","Active","100","0,00610","0,61 €","1850562","21 Weken","RES 0 OHM JUMPER 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"CRCW08054K30FKEAHP","Vishay Dale","541-CRCW08054K30FKEAHPCT-ND","","","Cut Tape (CT)","Active","20","0,18800","3,76 €","4563","38 Weken","RES SMD 4.3K OHM 1% 1/2W 0805","ROHS3-compatibel","Loodvrij","Niet beschikbaar"
"RMCF0805FT1M00","Stackpole Electronics Inc","RMCF0805FT1M00CT-ND","","","Cut Tape (CT)","Active","20","0,02300","0,46 €","271627","21 Weken","RES 1M OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"RC0805FR-0791KL","Yageo","311-91.0KCRCT-ND","","","Cut Tape (CT)","Active","20","0,03600","0,72 €","139497","20 Weken","RES SMD 91K OHM 1% 1/8W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"BSS138P,215","Nexperia USA Inc.","1727-1142-1-ND","","","Cut Tape (CT)","Active","10","0,11600","1,16 €","219814","16 Weken","MOSFET N-CH 60V 360MA TO236AB","ROHS3-compatibel","Loodvrij","REACH Unaffected"
"EEV-FK1J471M","Panasonic Electronic Components","PCE3485CT-ND","","","Cut Tape (CT)","Active","5","1,83000","9,15 €","2382","33 Weken","CAP ALUM 470UF 20% 63V SMD","Conform RoHS","Loodvrij","Niet beschikbaar"
"RK73H2ATTD3900F","KOA Speer Electronics, Inc.","2019-RK73H2ATTD3900FCT-ND","","","Cut Tape (CT)","Active","20","0,03000","0,60 €","83877","6 Weken","RES 390 OHM 1% 1/4W 0805","ROHS3-compatibel","Loodvrij","REACH Unaffected"